x       y       ex      ey
-0.5    0       0.01    0.01
0.27    13.50   0.01    0.01
0.47    3.910   0.01    0.01
0.59    0.522   0.01    0.01
0.65    0.096   0.01    0.01
0.67    0.079   0.01    0.01
0.70    0.040   0.01    0.01
0.71    0.028   0.01    0.01
0.72    0.027   0.01    0.01
0.73    0.016   0.01    0.01
0.74    0.017   0.01    0.01
