x       y       ex      ey
0       13.0    0.1     0.1
2       12.6    0.1     0.1
4       12.3    0.1     0.1
6       11.7    0.1     0.1
8       11.3    0.1     0.1
10      10.5    0.1     0.1
12      10.1    0.1     0.1
14      10.6    0.1     0.1
16      11.4    0.1     0.1
18      11.9    0.1     0.1
20      12.2    0.1     0.1
22      12.6    0.1     0.1
24      13.0    0.1     0.1
