x       y       ex      ey
0       9.4     0.1     0.1
2       9.3     0.1     0.1
4       9.0     0.1     0.1
6       8.6     0.1     0.1
8       8.4     0.1     0.1
10      8.0     0.1     0.1
12      7.7     0.1     0.1
14      8.0     0.1     0.1
16      8.3     0.1     0.1
18      8.4     0.1     0.1
20      8.6     0.1     0.1
22      8.8     0.1     0.1
24      9.0     0.1     0.1
