x       y       ex      ey
0       8.4     0.1     0.1
3       7.5     0.1     0.1
6       6.5     0.1     0.1
9       4.4     0.1     0.1
12      3.6     0.1     0.1
15      4.3     0.1     0.1
18      6.0     0.1     0.1
21      7.7     0.1     0.1
24      9.0     0.1     0.1
