x       y       ex      ey
0       5.6     0.1     0.1
3       4.9     0.1     0.1
6       3.8     0.1     0.1
9       2.7     0.1     0.1
12      2.3     0.1     0.1
15      2.6     0.1     0.1
18      3.6     0.1     0.1
21      4.5     0.1     0.1
24      5.5     0.1     0.1
