x       y       ex      ey
0       11.0    0.1     0.1
2       10.7    0.1     0.1
4       10.3    0.1     0.1
6       10.2    0.1     0.1
8       10.1    0.1     0.1
10      9.2     0.1     0.1
12      8.7     0.1     0.1
14      9.2     0.1     0.1
16      9.8     0.1     0.1
18      10.6    0.1     0.1
20      10.7    0.1     0.1
22      10.9    0.1     0.1
24      11.4    0.1     0.1
