x       y       ex      ey
0       5.2     0.1     0.1
2       5.3     0.1     0.1
4       5.2     0.1     0.1
6       5.0     0.1     0.1
8       4.6     0.1     0.1
10      4.5     0.1     0.1
12      4.6     0.1     0.1
14      5.0     0.1     0.1
16      5.3     0.1     0.1
18      5.3     0.1     0.1
20      5.3     0.1     0.1
22      5.2     0.1     0.1
24      5.1     0.1     0.1
