x       y       ex      ey
0       11.0    0.1     0.1
2       10.8    0.1     0.1
4       10.8    0.1     0.1
6       11.0    0.1     0.1
8       11.3    0.1     0.1
10      11.6    0.1     0.1
12      11.7    0.1     0.1
14      11.6    0.1     0.1
16      11.1    0.1     0.1
18      10.9    0.1     0.1
20      10.9    0.1     0.1
22      11.0    0.1     0.1
24      11.0    0.1     0.1
