x       y       ex      ey
0       12.4    0.1     0.1
3       11.2    0.1     0.1
6       9.2     0.1     0.1
9       5.7     0.1     0.1
12      4.5     0.1     0.1
15      5.6     0.1     0.1
18      9.4     0.1     0.1
21      11.7    0.1     0.1
24      13.0    0.1     0.1
