x       y       ex      ey
0       15.0    0.1     0.1
2       14.8    0.1     0.1
4       14.6    0.1     0.1
6       14.6    0.1     0.1
8       14.9    0.1     0.1
10      15.0    0.1     0.1
12      15.0    0.1     0.1
14      14.9    0.1     0.1
16      14.9    0.1     0.1
18      14.8    0.1     0.1
20      14.7    0.1     0.1
22      14.7    0.1     0.1
24      14.9    0.1     0.1
