x       y       ex      ey
0       15.0    0.1     0.1
2       14.7    0.1     0.1
4       14.4    0.1     0.1
6       13.9    0.1     0.1
8       13.3    0.1     0.1
10      12.0    0.1     0.1
12      11.0    0.1     0.1
14      12.3    0.1     0.1
16      13.3    0.1     0.1
18      14.0    0.1     0.1
20      14.2    0.1     0.1
22      14.4    0.1     0.1
24      14.5    0.1     0.1
